Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
Czech Republic,,,,,,,,,,,,,,,,5820.043,6529.042,6030.633,6484.201,6333.862,6015.067,6627.103,8056.318,9823.287,11751.897,13446.938,15284.674,18527.743,22925.748,19908.146,19983.577,21890.781,19880.902,20129.622,19915.381,17842.868,18597.213,20666.666,23468.355,23713.889,23001.306,26849.194,28094.618,29856.377,32011.167,34135.281,36072.79,37987.079
Côte d'Ivoire,1736.221,1406.871,1215.248,1043.542,1012.116,993.889,1280.028,1355.587,1357.326,1248.332,1327.006,1240.002,1268.082,1142.984,835.236,1073.949,1152.482,1084.69,1137.461,1088.344,920.472,935.446,1009.639,1216.937,1282.215,1287.97,1308.58,1458.236,1697.048,1657.596,1650.956,1660.451,1686.73,1919.162,2115.189,1932.222,1971.618,2066.845,2265.294,2227.982,2279.02,2533.744,2418.436,2496.548,2650.232,2811.609,2970.327,3114.79
Denmark,13886.37,12076.174,11801.273,11852.891,11561.767,12259.279,17215.426,21349.948,22528.114,21913.155,26920.581,27052.653,29622.474,27640.496,30050.878,35471.255,35732.689,32897.57,33426.974,33492.354,30798.717,30806.607,33275.556,40512.045,46571.283,48872.095,52121.249,58641.193,64531.119,58286.537,58177.162,61864.093,58623.414,61325.575,62729.499,53478.495,54862.848,57772.553,61724.492,59678.596,61005.841,68202.07,65713.412,66393.635,69326.415,72326.92,75390.253,78611.279
Djibouti,,,,,,,,,,,1075.362,1069.558,1090.97,1057.623,1108.89,1108.217,1077.269,1067.633,1060.781,1084.065,1087.356,1105.8,1120.278,1159.547,1211.887,1270.21,1358.41,1477.248,1691.088,1720.976,1835.755,2036.945,2188.547,2312.724,2464.295,2652.513,2803.689,2926.153,3038.27,3172.751,3219.701,3364.91,3665.827,3869.397,4168.976,4472.316,4801.103,5156.61
Dominica,,1112.642,1217.573,1346.688,1495.272,1642.752,1864.889,2102.964,2377.904,2582.185,2819.552,3087.299,3287.848,3448.673,3713.105,3855.291,4104.42,4254.367,4526.684,4657.561,4681.178,4775.344,4680.264,4825.77,5165.218,5127.438,5497.251,5939.91,6463.44,6903.996,6980.957,7160.275,6994.866,7153.468,7388.583,7596.222,8089.25,7507.368,7981.044,8466.407,6872.22,7280.858,8086.387,8839.442,9383.54,9912.98,10309.971,10727.987
Dominican Republic,1534.317,1677.447,1545.099,1562.13,2397.598,1022.611,1212.354,1245.272,1113.835,1230.744,1123.244,1365.232,1573.686,1741.669,1916.439,2141.061,2309.916,2495.032,2658.543,2674.828,2894.303,3007.381,3158.393,2460.554,2540.849,4008.356,4188.715,4803.473,5194.799,5151.172,5688.751,6063.35,6274.865,6413.934,6805.662,7139.507,7521.268,7874.941,8340.961,8595.611,7553.509,8986.176,10573.148,11405.053,12135.071,12858.202,13637.429,14479.76
Ecuador,2097.141,2087.382,2026.375,1732.499,1794.733,2044.313,1461.92,1332.147,1234.671,1182.529,1173.126,1286.617,1375.712,1572.842,1858.323,1980.373,2037.13,2253.233,2257.861,1598.768,1461.838,1909.424,2180.386,2434.977,2700.118,3025.012,3351.476,3588.311,4267.473,4241.938,4633.247,5192.875,5664.886,6030.502,6347,6099.351,6046.302,6216.606,6318.477,6260.603,5670.33,5978.915,6412.728,6587.976,6728.166,6859.519,6993.458,7130.029
Egypt,580.042,617.659,711.351,846.388,925.97,1049.33,1132.456,1585.217,1858.029,2266.442,1870.847,923.843,825.448,897.202,968.914,1098.086,1209.49,1327.405,1454.957,1518.197,1636.752,1566.199,1355.278,1252.404,1195.597,1331.362,1563.739,1862.164,2271.232,2578.884,2922.796,3077.343,3379.013,3404.341,3566.092,3827.953,3797.105,2592.686,2710.1,3214.31,3802.4,4144.422,4504.369,4437.417,4714.849,5049.695,5400.431,5774.774
El Salvador,827.158,721.105,706.494,672.516,488.784,471.502,469.937,472.147,543.469,611.47,914.131,983.18,1073.311,1216.701,1380.708,1585.109,1684.786,1778.838,1886.36,1930.623,2001.538,2072.3,2124.103,2209.497,2278.432,2428.57,2631.82,2786.158,2933.395,2858.479,2983.23,3266.011,3428.409,3509.53,3589.041,3705.578,3805.992,3910.253,4052.622,4165.035,3786.963,4408.473,4883.047,5075.822,5211.725,5354.545,5500.734,5642.813
Equatorial Guinea,123.403,109.806,121.292,126.408,130.117,205.657,241.443,284.263,296.908,253.241,312.102,299.071,351.662,343.493,245.881,333.846,527.121,965.017,777.254,1251.452,1885.985,2616.487,3107.854,5424.13,8214.073,10810.445,12743.347,15782.688,22834.435,16596.742,17153.165,21479.995,21556.417,20252.748,19271.286,11217.985,9202.539,9624.532,9968.089,8355.342,7181.47,8447.959,11264.416,10086.865,8630.764,8427.134,8164.514,8169.764
